disease, symptom1, symptom2, symptom3, symptom4, symptom5, medication1, medication2, prevention1, prevention2
Schizophrenia,delusions,hallucinations,disorganized speech,abnormal motor behavior,negative symptoms,antipsychotic medication,psychotherapy,early treatment,avoiding substance abuse
Scoliosis,uneven shoulders or hips,one shoulder blade that appears more prominent than the other,uneven waist,leaning to one side,back pain,bracing,surgery,regular exercise,good posture
Seizures,convulsions,staring spells,loss of consciousness,psychic symptoms,physical symptoms,anticonvulsant medication,brain surgery,avoiding triggers,getting enough sleep
Sickle cell anemia,anemia,jaundice,painful swelling of hands and feet,frequent infections,pain crisis,hydroxyurea,blood transfusion,hydration,avoiding extreme temperatures and dehydration
Sinusitis,headache,nasal congestion,loss of smell or taste,facial pain or pressure,cough,antibiotics,decongestants,avoiding allergens,using humidifiers
Skin cancer,changes in skin appearance,moles that change in color or size,sores that don't heal,sun sensitivity,itching or pain,excision,surgery,avoiding UV exposure,regular skin checks
Sleep apnea,loud snoring,pauses in breathing during sleep,excessive daytime sleepiness,morning headache,dry mouth or sore throat,continuous positive airway pressure (CPAP),oral appliances,weight loss,avoiding alcohol and sedatives
Stomach cancer,abdominal pain,nausea or vomiting,indigestion,loss of appetite,weight loss,surgery,chemotherapy,avoiding tobacco and alcohol,regular screenings
Stroke,face drooping,arm weakness,speech difficulty,sudden confusion or trouble seeing,sudden severe headache,clot-busting drugs,mechanical thrombectomy,healthy lifestyle habits,controlling blood pressure and cholesterol
Syphilis,sores or rash,fever or swollen lymph nodes,headache or joint pain,patches of skin that look gray or white,latent or late stage symptoms,antibiotics,abstinence or condom use,regular STI testing and treatment
Tay-Sachs disease,Developmental delay,Muscle weakness,Cherry-red spot on the retina,Blindness,Seizures,No specific medication available,No specific medication available,Genetic counseling,Screening tests for carriers
Testicular cancer,Lump or swelling in the testicle,Pain or discomfort in the testicle or scrotum,Heaviness or aching in the lower abdomen or scrotum,Breast enlargement,Back pain,Radiation therapy,Chemotherapy,Regular testicular self-exams,Healthy lifestyle habits
Tetanus,Stiffness in the neck and abdominal muscles,Painful muscle contractions,Difficulty swallowing,Seizures,Fever,Tetanus immune globulin,Tetanus toxoid vaccine,Cleaning and covering of wounds,Booster doses of tetanus vaccine
Thalassemia,Fatigue,Pale or yellowish skin,Dark urine,Abdominal swelling,Delayed growth and development,Transfusion therapy,Iron chelation therapy,Genetic counseling,Prenatal testing and diagnosis
Thyroid cancer,Lump or swelling in the neck,Pain in the neck or throat,Hoarseness or difficulty speaking,Difficulty swallowing,Shortness of breath,Thyroidectomy,Radioactive iodine therapy,Regular thyroid self-exams,Avoidance of radiation exposure
Tinnitus,Ringing, buzzing, hissing, or roaring sound in the ears,Trouble sleeping,Trouble concentrating,Anxiety,Depression,No specific medication available,Sound therapy,Protecting the ears from loud noises,Stress management techniques
Tuberculosis (TB),Cough lasting for more than 3 weeks,Chest pain,Coughing up blood or sputum,Fever,Chills,Isoniazid,Rifampin,Proper ventilation of indoor spaces,Isolation of infected individuals
Ulcerative colitis,Abdominal pain,Bloody diarrhea,Rectal bleeding,Urgency to defecate,Weight loss,Sulfasalazine,Mesalamine,Dietary changes,Regular checkups
Urinary tract infection (UTI),Frequent urination,Painful urination,Cloudy or bloody urine,Abdominal pain,Feeling tired or shaky,Trimethoprim-sulfamethoxazole,Amoxicillin,Avoiding tight-fitting clothing,Wiping from front to back after using the toilet
Varicose veins,Swollen, twisted veins,Discolored skin around the veins,Leg pain,Leg heaviness,Fatigue,Compression stockings,Endovenous laser treatment,Regular exercise,Healthy weight management
West Nile virus,Fever,Headache,Body aches,Skin rash,Swollen lymph nodes,Over-the-counter pain relievers,Intravenous fluids,Preventing mosquito bites,Reducing mosquito breeding sites
